Latitude,Longitude,Cluster
48.38058035,-123.5334425,70
49.3695153,-98.2279019,81
52.46437393,-113.732276,96
51.5831272,-119.7185391,-1
45.05370897,-76.50480221,-1
48.5321875,-71.7104161,22
60.72105795,-135.0516172,1
44.24222875,-76.43979624,77
46.8488632,-71.2412241,59
44.22737787,-76.4925614,77
44.0423541,-64.7335355,35
44.92946408,-78.72747373,-1
45.2806096,-71.9690787,94
43.89231569,-79.26701687,137
46.0725513,-66.0653812,-1
47.0335869,-65.4610836,17
52.46342,-113.117876,-1
45.3652155,-77.617235,-1
49.1354712,-122.3047067,74
45.121617,-72.915688,93
45.22798575,-76.19993027,-1
43.65167,-79.52569173,142
45.489016,-73.636294,130
46.0720695,-64.71055947,45
42.83993321,-82.46242709,90
50.3947843,-105.5315042,61
44.99801076,-62.95123543,-1
43.11024472,-79.26444937,118
50.4165785,-107.0429149,67
45.6893205,-72.2688357,-1
46.62742496,-71.98851232,-1
44.9663294,-65.173996,48
51.7922499,-114.1074019,-1
49.0443664,-122.3044922,74
45.61621731,-61.38929636,30
53.525159,-114.0088595,-1
44.2334317,-76.4907331,77
44.22230734,-76.49041953,77
45.8243986,-77.1194596,68
45.50774061,-73.56682834,139
45.49242739,-73.61800368,130
45.51156047,-73.6720556,-1
45.50982677,-73.55116119,138
45.50427595,-73.57341987,140
45.51892911,-73.53710807,133
47.7952579,-64.93833802,17
48.044779,-65.491905,17
49.325175,-67.591758,-1
45.54319998,-73.72114995,116
45.130566,-71.807717,-1
46.351181,-72.548067,88
45.400199,-72.721918,-1
45.420584,-73.496655,-1
47.4402939,-70.5055892,57
45.507828,-73.56679,139
45.778518,-74.003105,-1
46.024312,-73.43613,76
45.405717,-71.894896,94
48.104268,-66.348191,17
58.455121,-78.1051029,0
47.623311,-70.141894,-1
47.659707,-79.314083,19
46.4789797,-64.7078244,-1
45.5129445,-73.5584364,138
46.814002,-71.206847,59
46.061097,-70.543369,-1
46.431364,-71.0136,52
46.117514,-70.673611,52
48.27789,-72.193704,-1
46.038665,-71.915966,-1
45.54706055,-73.66558325,116
45.47782372,-73.65572847,-1
46.649519,-72.967422,-1
45.53496405,-73.514004,-1
